79.2,85.3,87,100
85.8,81.9,88.1,85.6
87.7,88.6,82.4,89.7
87.2,88,85.6,76.7
75.1,88.6,84.2,86.5
84.9,76,87.5,90.7
85.8,87,77.4,87
89.8,89.4,88.5,78.1
79.5,86.4,89,90.4
90.6,79.4,90.8,90.7
87,88.2,80.9,91.6
92.4,88.2,88,83.7
81.2,89.2,92.2,89.3
82.3,80,92.8,92.2
91.6,84.8,80.3,90
90.1,86.5,90.4,83.1
81,23.8,80.5,92.8
87.1,29.4,87.6,87.1
91.5,75.8,80.1,91.2
90.8,62.3,91.2,81.9
79.7,89.2,87.5,92
88.9,76.2,90.6,88.4
90.2,91.1,80.9,88
91.5,89.7,92.5,80.8
83.1,91,89,92.3
89.6,84.8,91.6,90.1
91.3,89.7,73.2,91.7
90.5,92.4,86,83.5
81.6,91.9,90.6,92.3
90.7,80.1,99.5,91.9
82.9,99.5,91,90.1
90.6,87.4,78.5,97.8
99.2,91.5,92.2,82.4
87.6,90.4,91.6,90.2
89,80,99.2,89.8
81.4,96.2,91.8,84.7
